Código,Nombre_Estacion,Nombre,PM2.5,PM10,NO,NO2,NOx,Ozono,CO,SO2,Latitud,Longitud,P_SSR,PLiquida_SSR,TAire10_SSR,RGlobal_SSR,HAire10_SSR,VViento_SSR,DViento_SSR,PM10M,Vaisala,Automatica,Ruido,PM2.5M,BTEX,Nombre_Largo,Enumeracion,Municipio,Meteorologia
84,I.E. INEM sede Santa Catalina,MED-TESO,1,0,0,0,0,0,0,0,6.19987,-75.56095,0,0,0,0,0,0,0,0,0,1,0,0,0,I.E. INEM Jose Félix de Restrepo Sede Santa Catalina,14,Medellín - El Poblado,0
85,Parque Biblioteca Fernando Botero,MED-SCRI,1,0,0,0,0,0,0,0,6.28050,-75.63660,0,0,0,0,0,0,0,0,0,1,0,0,0,Parque Biblioteca Fernando Botero,12,Medellín - San Cristobal,0
86,I.E. Ciro Mendía,MED-ARAN,1,0,0,0,0,0,0,0,6.2934599,-75.556427,0,0,0,0,0,0,0,0,0,1,0,0,0,I.E. Ciro Mendia,11,Medellín - Aranjuez,0
82,Ciudadela Educativa de la Vida,COP-CVID,1,0,0,0,0,0,0,0,6.3453611111111111,-75.50474,0,0,0,0,0,0,0,0,0,1,0,0,0,Ciudadela de la Vida,10,Copacabana,1
87,I.E. Fernando Vélez,BEL-FEVE,1,0,0,0,0,0,0,0,6.33755,-75.5678,0,0,0,0,0,0,0,0,0,1,0,0,0,I.E. Fernando Vélez,15,Bello,0
88,E.S.E Santa Gertrudis,ENV-HOSP,1,0,0,0,0,0,0,0,6.16849,-75.58197,0,0,0,0,0,0,0,0,0,1,0,0,0,E.S.E Santa Gertrudis,16,Envigado,0
89,I.E. Jose Félix de Restrepo,SAB-JOFE,0,0,0,0,0,0,0,0,6.15012,-75.62049,0,0,0,0,0,0,0,0,0,0,0,0,0,I.E. Jose Félix de Restrepo,17,Sabaneta,0
90,I.E Rafael J. Mejía,SAB-RAME,1,0,0,0,0,0,0,0,6.145500,-75.621260,0,0,0,0,0,0,0,0,0,1,0,0,0,I.E Rafael J. Mejía,17,Sabaneta,1
92,Estación de Policia Los Gómez,ITA-POGO,0,1,0,0,0,0,0,0,6.189723,-75.610588,0,0,0,0,0,0,0,1,0,1,0,0,0,Estación de Policía Los Gómez,0,Itagüí,0
94,Medellín - Santa Elena,MED-SELE,1,0,0,0,0,0,0,0,6.236361,-75.498472,0,0,0,0,0,0,0,0,0,1,0,0,0,Medellín - Santa Elena,18,Medellín - Santa Elena,1
95,Zoológico Santa Fe,MED-ZOOL,0,0,0,0,0,0,0,0,6.2244623802,-75.57922995,0,0,0,0,0,0,0,0,0,0,1,0,0,Zoológico Santa Fe,,Medellín,0
96,Santa María,ITA-SAMA,0,0,0,0,0,0,0,0,6.186908,-75.594723,0,0,0,0,0,0,0,0,0,0,1,0,0,Santa María,,Itagüí,0 
97,Politécnico JIC-Regional,MED-PJIR,0,0,0,0,0,0,0,0,6.20896,-75.577939,0,0,0,0,0,0,0,0,0,0,1,0,0,Politécnico Jaime Isaza Cadavid Regional,,Medellín,0
98,I. E. Jorge Eliecer Gaitán,BEL-JEGA,0,0,0,0,0,0,0,0,6.33711,-75.55866,0,0,0,0,0,0,0,1,0,0,0,1,0,Institución Educativa Jorge Eliecer Gaitán,,Bello,0
100,Fiscalía General de la Nación,MED-FISC,1,0,1,1,1,1,0,0,6.2687889,-75.57370833,1,1,1,1,1,1,1,0,0,1,0,0,0,Fiscalía General de la Nación,,Medellin,1
101,Girardota - Tanques EPM,GIR-EPM,1,1,1,1,1,1,1,1,6.373635,-75.448145,0,0,0,0,0,0,1,1,1,1,1,1,1,Tanques EPM,1,Girardota,1
102,Campaña Girardota,GIR-TEMP,0,0,0,0,0,0,0,0,6.377940,-75.443492,0,0,0,0,0,0,0,0,0,1,0,0,0,Campaña Girardota,,Girardota,0
103,Tomás Carrasquilla - La Quintana,MED-
PBLQ,1,0,0,0,0,1,0,0,6.285000,-75.583055,0,0,0,0,0,0,0,0,0,0,0,0,0,Parque Biblioteca Tomás Carrasquilla - La Quintana,,Medellín,0
